"Member Publication Name","Matched Publication Name","Parent Org","Homepage URL","Match Confidence","Match Method","Notes","Opinion Section URL","RSS Opinion feed Y/N","RSS feed URL","Non-RSS Opinion Page Y/N","Monitoring Method"
"48 Hills","48 Hills","","http://www.48hills.org","High","exact_contact","","","","","",""
"A News Café","A News Café","","https://anewscafe.com/","High","exact_contact","","","","","",""
"Abridged PBS KVIE","Abridged PBS KVIE","PBS KVIE","https://www.abridged.org/","High","exact_contact","","","","","",""
"Adelante Valle","Adelante Valle","Imperial Valley Press","https://www.ivpressonline.com/adelantevalle/","High","exact_contact","","","","","",""
"Alhambra Press","Alhambra Press","Beacon Media, Inc. (BMI-VR)","http://www.alhambra-press.com","High","exact_contact","","","","","",""
"American Community Media","American Community Media","","https://americancommunitymedia.org/","High","exact_contact","","","","","",""
"Anaheim Press","Anaheim Press","Beacon Media, Inc. (BMI-VR)","http://www.anaheimpress.com","High","exact_contact","","","","","",""
"Antelope Valley Press Inc.","Antelope Valley Press Inc.","Sound California News Media Inc. (SCNMI)","http://www.avpress.com","High","exact_contact","","","","","",""
"Antioch Press","Antioch Press","Brentwood Press","https://www.thepress.net/news/antioch","High","exact_contact","","","","","",""
"Appeal-Democrat (A-D)","Appeal-Democrat (A-D)","Vista California News Media Inc. (VCNMI)","http://www.appeal-democrat.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Archbishop Riordan High School - The Crusader","Archbishop Riordan High School - The Crusader","","https://rcrusadernews.com","High","exact_contact","","","","","",""
"Atwater Signal","Atwater Signal","McClatchy Papers","http://www.mercedsunstar.com/news/local/community/atwater","High","exact_contact","","","","","",""
"Atwater-Winton Times","Atwater-Winton Times","Mid-Valley Publications (M-VP)","http://www.mercedcountytimes.net","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Auburn Journal","Auburn Journal","Gold Mountain California News Media Inc. (GMCNMI)","http://www.auburnjournal.com","High","exact_contact","","","","","",""
"Baldwin Park Press","Baldwin Park Press","Beacon Media, Inc. (BMI-VR)","http://www.bppress.com","High","exact_contact","","","","","",""
"Bay Area News Group (BANG Newspapers)","Bay Area News Group (BANG Newspapers)","MediaNews Group","http://www.bayareanewsgroup.com/","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Bay Area Reporter","Bay Area Reporter","","https://www.ebar.com","High","exact_contact","","","","","",""
"Beacon Media, Inc. (BMI-VR)","Beacon Media, Inc. (BMI-VR)","","https://heysocal.com/","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Belmont Beacon","Belmont Beacon","Beacon Media, Inc. (BMI-VR)","http://www.belmontbeacon.com","High","exact_contact","","","","","",""
"Beverly Hills Courier","Beverly Hills Courier","BH Courier Acquisition LLC","http://bhcourier.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Beverly Hills Weekly","Beverly Hills Weekly","","http://www.bhweekly.com","High","exact_contact","","","","","",""
"Big Bear Grizzly","Big Bear Grizzly","Gold Mountain California News Media Inc. (GMCNMI)","http://www.bigbeargrizzly.net","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Black Voice News","Black Voice News","Brown Publishing Co. LLC","http://www.blackvoicenews.com","High","exact_contact","","","","","",""
"Branham High School - Bear Witness","Branham High School - Bear Witness","","https://bhsbearwitness.com","High","exact_contact","","","","","",""
"Brentwood Press","Brentwood Press","Brentwood Press & Publishing (BP&P)","https://brentwoodnewsla.com/","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Burbank Independent","Burbank Independent","Beacon Media, Inc. (BMI-VR)","http://www.burbankindependent.com","High","exact_contact","","","","","",""
"Burbank Leader","Burbank Leader","La Canada Flintridge Outlook","https://outlooknewspapers.com/burbankleader/","High","exact_contact","","","","","",""
"Calaveras Enterprise","Calaveras Enterprise","Hope Publications LLC (HPL)","http://www.calaverasenterprise.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"California Health Report","California Health Report","","https://www.calhealthreport.org","High","exact_contact","","","","","",""
"California Polytechnic State University - Mustang News","California Polytechnic State University - Mustang News","","http://mustangnews.net/","High","exact_contact","","","","","",""
"California State Polytechnic University, Pomona - The Poly Post","California State Polytechnic University, Pomona - The Poly Post","","http://www.thepolypost.com/","High","exact_contact","","","","","",""
"California State University, Chico - The Orion","California State University, Chico - The Orion","","http://theorion.com/","High","exact_contact","","","","","",""
"California State University, Fresno - The Collegian","California State University, Fresno - The Collegian","","http://collegian.csufresno.edu/","High","exact_contact","","","","","",""
"California State University, Fullerton - Daily Titan","California State University, Fullerton - Daily Titan","","https://dailytitan.com/","High","exact_contact","","","","","",""
"California State University, Long Beach - Daily 49er","California State University, Long Beach - Daily 49er","","http://www.daily49er.com/","High","exact_contact","","","","","",""
"Calistoga Tribune","Calistoga Tribune","Napa Valley News Group","http://www.calistogatribune.com","High","exact_contact","","","","","",""
"Capital & Main","Capital & Main","","https://capitalandmain.com","High","exact_contact","","","","","",""
"Carmel Valley News","Carmel Valley News","La Jolla Light","http://www.delmartimes.net","High","exact_contact","","","","","",""
"Castro Valley Forum","Castro Valley Forum","East Bay Publishing","http://www.castrovalleyforum.com","High","exact_contact","","","","","",""
"Castro Valley High School - The Olympian","Castro Valley High School - The Olympian","","http://cvhsolympian.com/","High","exact_contact","","","","","",""
"CCWF Paper Trail","CCWF Paper Trail","Pollen Initiative","https://ccwfpapertrail.org/who-we-are/","High","exact_contact","","","","","",""
"Cerritos College - Talon Marks","Cerritos College - Talon Marks","","https://www.talonmarks.com/","High","exact_contact","","","","","",""
"Chapman University","Chapman University","","https://www.chapman.edu/","High","exact_contact","","","","","",""
"Chapman University-Chap Book/Collegiate News Service","","","","Unmatched","unmatched","No likely match found in large sheet","","","","",""
"Chico Enterprise-Record","Chico Enterprise-Record","MediaNews Group","http://www.chicoer.com","High","exact_contact","","","","","",""
"ChicoSol News","ChicoSol News","","http://chicosol.org","High","exact_contact","","","","","",""
"Chinese LA Daily News","Chinese LA Daily News","","https://www.chinesedaily.com/","High","exact_contact","","","","","",""
"Chino Valley Champion","Chino Valley Champion","Golden State Newspapers LLC","https://www.championnewspapers.com/","High","exact_contact","","","","","",""
