"Publication Name","Homepage URL","Opinion Source URL","Source Type","Ingestion Tier","Monitoring Method","Active","Notes"
"Los Angeles Times","https://www.latimes.com","https://www.latimes.com/opinion","RSS opinion feed","Tier 1","Use opinion RSS feed","Yes","Official LA Times feeds page lists an Opinion feed."
"The Sacramento Bee","http://www.sacbee.com","https://www.sacbee.com/opinion/","Opinion page","Tier 2","Monitor opinion page for new items","Yes","Official opinion page confirmed; no dedicated opinion RSS found yet."
"The San Diego Union-Tribune","http://www.sandiegouniontribune.com","http://www.sandiegouniontribune.com","Manual review","Tier 3","Manual review; likely opinion section exists","Yes","Direct opinion-section confirmation was blocked by robots in this pass, but this major metro daily is very likely to maintain opinion/editorial pages."
"San Francisco Chronicle","http://www.sfchronicle.com","https://www.sfchronicle.com/opinion","Opinion page","Tier 2","Monitor opinion page for new items","Yes","Official opinion landing page confirmed; dedicated opinion RSS not confirmed yet."
"The Orange County Register","http://www.ocregister.com","http://www.ocregister.com","Manual review","Tier 3","Manual review; likely opinion section exists","Yes","Direct opinion-section confirmation was blocked by robots in this pass, but this large regional daily likely maintains opinion/editorial pages."
"The Fresno Bee","https://www.fresnobee.com","https://www.fresnobee.com/opinion/","Opinion page","Tier 2","Monitor opinion page and subpages","Yes","Official opinion page confirmed; editorials and op-ed subpages are also visible. Dedicated opinion RSS not confirmed yet."
"The Bakersfield Californian","http://www.bakersfield.com","http://www.bakersfield.com","Manual review","Tier 3","Manual review; likely opinion section exists","Yes","Direct opinion-section confirmation was not retrievable in this pass due site restrictions and search noise, but this metro daily likely maintains opinion/editorial content."
"The Modesto Bee","http://www.modbee.com","https://www.modbee.com/opinion/opn-columns-blogs/","Opinion page","Tier 2","Monitor opinion columns/blogs page","Yes","Official opinion columns/blogs page confirmed; community columns and other opinion content are visible. Dedicated opinion RSS not confirmed yet."
"Ventura County Star","http://www.vcstar.com","http://www.vcstar.com","Manual review","Tier 3","Manual review; likely opinion section exists","Yes","Archive pages show historic Ventura County Star /opinion/ URLs, but current direct section confirmation was blocked by robots."
"The Desert Sun","http://www.thedesertsun.com","http://www.thedesertsun.com","Manual review","Tier 3","Manual review; likely opinion section exists","Yes","Direct opinion-section confirmation was blocked in web retrieval during this pass."
"The Press Democrat","https://www.pressdemocrat.com","https://www.pressdemocrat.com/article/opinion/","Opinion page","Tier 2","Monitor opinion articles/category pages","Yes","Press Democrat published notice that RSS feeds were discontinued in June 2020."
"Monterey County Weekly","http://www.montereycountyweekly.com","http://www.montereycountyweekly.com","Opinion page","Tier 2","Monitor letters/comments opinion pages in weekly archive","Yes","Flipbook archives consistently show a Letters • Comments • Opinion section with submission instructions to letters@mcweekly.com; no stable standalone opinion URL was confirmed."
"Redding Record Searchlight","http://www.redding.com/","http://www.redding.com/","Manual review","Tier 3","Manual review; likely opinion section exists","Yes","Redding.com is a Gannett property with letters-to-editor workflows and news section fronts visible, but current opinion section could not be directly confirmed in this pass."
"The Union Democrat","http://www.uniondemocrat.com","http://www.uniondemocrat.com","Opinion page","Tier 2","Monitor letters to the editor and editorials","Yes","Published contact information includes a dedicated letters@uniondemocrat.com address, indicating ongoing opinion/letters workflow; direct opinion page URL was not confirmed in this pass."
"Santa Maria Times","https://santamariatimes.com","https://santamariatimes.com/opinion/guest/","Opinion page","Tier 2","Monitor guest commentary and opinion pages","Yes","Multiple externally cited Santa Maria Times guest commentary URLs confirm a working opinion/guest section; direct fetch of the site was blocked by robots."
"48 Hills","http://www.48hills.org","https://48hills.org/category/news-politics/opinion/","Opinion page","Tier 2","Monitor opinion archive page","Yes","Opinion archive page confirmed on site; dedicated opinion RSS not confirmed yet."
"Voice of OC","https://voiceofoc.org","https://voiceofoc.org/category/involvement/community-opinion/","Opinion page","Tier 2","Monitor community opinion category page","Yes","Official civic engagement page points to Community Opinion; RSS not confirmed."
"Capital & Main","https://capitalandmain.com","https://capitalandmain.com","Manual review","Tier 4","Deprioritize for opinion prototype","Yes","Capital & Main explicitly describes itself as fact-based reporting, not opinion. It may be useful editorially, but it is not a clean fit for an opinion-feed prototype."
"The Vallejo Sun","https://www.vallejosun.com","https://www.vallejosun.com","Manual review","Tier 3","Manual review; no dedicated opinion section confirmed","Yes","Search results in this pass surfaced reported news and tagged author pages, but no dedicated opinion/commentary archive was confirmed."
"The Mercury News","http://www.bayareanewsgroup.com/","http://www.bayareanewsgroup.com/","Manual review","Tier 3","Manual review under BANG umbrella","Yes","Bay Area News Group official pages confirm The Mercury News is a BANG flagship property; opinion landing page not confirmed in this pass."
"East Bay Times","http://www.bayareanewsgroup.com/","http://www.bayareanewsgroup.com/","Manual review","Tier 3","Manual review under BANG umbrella","Yes","Bay Area News Group official pages confirm East Bay Times is a BANG property; opinion landing page not confirmed in this pass."
"ChicoSol News","http://chicosol.org","http://chicosol.org","Opinion page","Tier 2","Monitor guest commentary and point-of-view stories","Yes","ChicoSol describes itself as fact-based reporting with guest commentaries, and multiple current stories are explicitly labeled Commentary or Point of View."
"The Berkeley Scanner","https://www.berkeleyscanner.com/","https://www.berkeleyscanner.com/","Manual review","Tier 4","Deprioritize; no opinion section identified","Yes","Current site presentation emphasizes independent daily crime and safety news. No dedicated opinion/commentary section was identified in this pass."
"A News Café","https://anewscafe.com/","https://anewscafe.com/category/opinion/","Opinion page","Tier 2","Monitor opinion category page","Yes","Opinion category page confirmed on site; dedicated opinion RSS not confirmed yet."
"El Tecolote","https://eltecolote.org/content/en/","https://eltecolote.org/content/en/","Manual review","Tier 3","Manual review; community-perspective outlet but opinion section unconfirmed","Yes","El Tecolote clearly offers community journalism from a Latinx perspective, but a dedicated opinion/op-ed archive was not confirmed in this pass."
"Black Voice News","http://www.blackvoicenews.com","https://blackvoicenews.com/category/opinion/","Opinion page","Tier 2","Monitor opinion archive page","Yes","Dedicated opinion archive confirmed on site; dedicated opinion RSS not confirmed yet."
"San Fernando Sun Newspaper","https://sanfernandosun.com/","https://sanfernandosun.com/category/opinion/","Opinion page","Tier 2","Monitor opinion archive page","Yes","Dedicated opinion archive confirmed on site; dedicated opinion RSS not confirmed yet."
"American Community Media","https://americancommunitymedia.org/","https://americancommunitymedia.org/category/oped/","Opinion page","Tier 2","Monitor op-ed category page","Yes","ACoM has a dedicated Op-Ed category and describes its mission as distributing news, opinion and analysis through its community media syndicate."
"Wind Newspaper","https://www.windnewspaper.com","https://www.windnewspaper.com/category/opinions","Opinion page","Tier 2","Monitor opinions and open forum page","Yes","Dedicated Opinions page confirmed on site; homepage also highlights Opinions & Open Forum content."
"Valley Voice","http://www.ourvalleyvoice.com","http://www.ourvalleyvoice.com","Opinion page","Tier 2","Monitor site for opinion-labeled and letter posts","Yes","Multiple current Valley Voice articles are explicitly labeled OPINION, including letters; a dedicated opinion archive URL was not confirmed in this pass."
