"Prototype Publication Name","Matched Publication Name","Bucket","Prototype Priority","Homepage URL","Parent Org","Match Confidence","Notes","Why Included","Opinion Section URL","RSS Opinion feed Y/N","RSS feed URL","Non-RSS Opinion Page Y/N","Monitoring Method","Source Notes"
"Los Angeles Times","Los Angeles Times","Major metro influence","Likely RSS candidate","https://www.latimes.com","Los Angeles Times Communications LLC (LATCLLC)","High","","Large metro with visible section architecture; strong early target for opinion-feed discovery.","https://www.latimes.com/opinion","Y","https://www.latimes.com/opinion/rss2.0.xml#nt=1col-7030col1","Y","Use opinion RSS feed","Official LA Times feeds page lists an Opinion feed."
"The Sacramento Bee","The Sacramento Bee","Major metro influence","Likely RSS candidate","http://www.sacbee.com","McClatchy Papers","High","","High-value Capitol publication; likely structured opinion/category output.","https://www.sacbee.com/opinion/","N","","Y","Monitor opinion page for new items","Official opinion page confirmed; no dedicated opinion RSS found yet."
"The San Diego Union-Tribune","The San Diego Union-Tribune","Major metro influence","Likely RSS candidate","http://www.sandiegouniontribune.com","MediaNews Group","High","Large sheet record is an organization/group row with attached child publications","Major daily and good proof point for Southern California coverage.","","","","","Manual review; likely opinion section exists","Direct opinion-section confirmation was blocked by robots in this pass, but this major metro daily is very likely to maintain opinion/editorial pages."
"San Francisco Chronicle","San Francisco Chronicle","Major metro influence","Likely RSS candidate","http://www.sfchronicle.com","Hearst Corporation","High","","Major statewide-recognition outlet with frequent opinion content.","https://www.sfchronicle.com/opinion","N","","Y","Monitor opinion page for new items","Official opinion landing page confirmed; dedicated opinion RSS not confirmed yet."
"The Orange County Register","The Orange County Register","Major metro influence","Likely RSS candidate","http://www.ocregister.com","Southern California News Group (SCNG)","High","Large sheet record is an organization/group row with attached child publications","Large regional paper with recurring commentary/editorial content.","","","","","Manual review; likely opinion section exists","Direct opinion-section confirmation was blocked by robots in this pass, but this large regional daily likely maintains opinion/editorial pages."
"The Fresno Bee","The Fresno Bee","Major metro influence","Likely RSS candidate","https://www.fresnobee.com","McClatchy Papers","High","","Strong Central Valley anchor and likely good structured feed source.","https://www.fresnobee.com/opinion/","N","","Y","Monitor opinion page and subpages","Official opinion page confirmed; editorials and op-ed subpages are also visible. Dedicated opinion RSS not confirmed yet."
"The Bakersfield Californian","The Bakersfield Californian","Major metro influence","Likely RSS candidate","http://www.bakersfield.com","Sound California News Media Inc. (SCNMI)","High","","Important Inland/Central Valley signal for statewide balance.","","","","","Manual review; likely opinion section exists","Direct opinion-section confirmation was not retrievable in this pass due site restrictions and search noise, but this metro daily likely maintains opinion/editorial content."
"The Modesto Bee","The Modesto Bee","Major metro influence","Likely RSS candidate","http://www.modbee.com","McClatchy Papers","High","","Another strong Central Valley source with likely opinion section structure.","https://www.modbee.com/opinion/opn-columns-blogs/","N","","Y","Monitor opinion columns/blogs page","Official opinion columns/blogs page confirmed; community columns and other opinion content are visible. Dedicated opinion RSS not confirmed yet."
"Ventura County Star","Ventura County Star","Regional daily","Likely RSS candidate","http://www.vcstar.com","Gannett Company Inc. (GCI)","High","","Gannett property; likely standardized site/feed patterns.","","","","","Manual review; likely opinion section exists","Archive pages show historic Ventura County Star /opinion/ URLs, but current direct section confirmation was blocked by robots."
"The Desert Sun","The Desert Sun","Regional daily","Likely RSS candidate","http://www.thedesertsun.com","Gannett Company Inc. (GCI)","High","","Gannett property and useful Inland Empire/Coachella voice.","","","","","Manual review; likely opinion section exists","Direct opinion-section confirmation was blocked in web retrieval during this pass."
