"Prototype Publication Name","Bucket","Homepage URL","Opinion Section URL","RSS Opinion feed Y/N","RSS feed URL","Non-RSS Opinion Page Y/N","Ingestion Tier","Recommended System","Recommended Setup","Monitoring Method","Implementation Notes","Source Notes"
"Los Angeles Times","Major metro influence","https://www.latimes.com","https://www.latimes.com/opinion","Y","https://www.latimes.com/opinion/rss2.0.xml#nt=1col-7030col1","Y","Tier 1","Feedly","Add RSS feed directly to Feedly prototype folder","Use opinion RSS feed","Best prototype candidate. Connect Feedly to Zapier or Make for automatic article capture.","Official LA Times feeds page lists an Opinion feed."
"The Sacramento Bee","Major metro influence","http://www.sacbee.com","https://www.sacbee.com/opinion/","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor opinion page for new items","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","Official opinion page confirmed; no dedicated opinion RSS found yet."
"The San Diego Union-Tribune","Major metro influence","http://www.sandiegouniontribune.com","","","","","Tier 3","Manual review","Editorial/manual verification before automation","Manual review; likely opinion section exists","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation.","Direct opinion-section confirmation was blocked by robots in this pass, but this major metro daily is very likely to maintain opinion/editorial pages."
"San Francisco Chronicle","Major metro influence","http://www.sfchronicle.com","https://www.sfchronicle.com/opinion","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor opinion page for new items","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","Official opinion landing page confirmed; dedicated opinion RSS not confirmed yet."
"The Orange County Register","Major metro influence","http://www.ocregister.com","","","","","Tier 3","Manual review","Editorial/manual verification before automation","Manual review; likely opinion section exists","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation.","Direct opinion-section confirmation was blocked by robots in this pass, but this large regional daily likely maintains opinion/editorial pages."
"The Fresno Bee","Major metro influence","https://www.fresnobee.com","https://www.fresnobee.com/opinion/","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor opinion page and subpages","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","Official opinion page confirmed; editorials and op-ed subpages are also visible. Dedicated opinion RSS not confirmed yet."
"The Bakersfield Californian","Major metro influence","http://www.bakersfield.com","","","","","Tier 3","Manual review","Editorial/manual verification before automation","Manual review; likely opinion section exists","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation.","Direct opinion-section confirmation was not retrievable in this pass due site restrictions and search noise, but this metro daily likely maintains opinion/editorial content."
"The Modesto Bee","Major metro influence","http://www.modbee.com","https://www.modbee.com/opinion/opn-columns-blogs/","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor opinion columns/blogs page","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","Official opinion columns/blogs page confirmed; community columns and other opinion content are visible. Dedicated opinion RSS not confirmed yet."
"Ventura County Star","Regional daily","http://www.vcstar.com","","","","","Tier 3","Manual review","Editorial/manual verification before automation","Manual review; likely opinion section exists","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation.","Archive pages show historic Ventura County Star /opinion/ URLs, but current direct section confirmation was blocked by robots."
"The Desert Sun","Regional daily","http://www.thedesertsun.com","","","","","Tier 3","Manual review","Editorial/manual verification before automation","Manual review; likely opinion section exists","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation.","Direct opinion-section confirmation was blocked in web retrieval during this pass."
"The Press Democrat","Regional daily","https://www.pressdemocrat.com","https://www.pressdemocrat.com/article/opinion/","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor opinion articles/category pages","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","Press Democrat published notice that RSS feeds were discontinued in June 2020."
"Monterey County Weekly","Regional daily","http://www.montereycountyweekly.com","","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor letters/comments opinion pages in weekly archive","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","Flipbook archives consistently show a Letters • Comments • Opinion section with submission instructions to letters@mcweekly.com; no stable standalone opinion URL was confirmed."
"Redding Record Searchlight","Regional daily","http://www.redding.com/","","","","","Tier 3","Manual review","Editorial/manual verification before automation","Manual review; likely opinion section exists","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation.","Redding.com is a Gannett property with letters-to-editor workflows and news section fronts visible, but current opinion section could not be directly confirmed in this pass."
"The Union Democrat","Regional daily","http://www.uniondemocrat.com","","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor letters to the editor and editorials","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","Published contact information includes a dedicated letters@uniondemocrat.com address, indicating ongoing opinion/letters workflow; direct opinion page URL was not confirmed in this pass."
"Santa Maria Times","Regional daily","https://santamariatimes.com","https://santamariatimes.com/opinion/guest/","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor guest commentary and opinion pages","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","Multiple externally cited Santa Maria Times guest commentary URLs confirm a working opinion/guest section; direct fetch of the site was blocked by robots."
"48 Hills","Independent digital","http://www.48hills.org","https://48hills.org/category/news-politics/opinion/","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor opinion archive page","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","Opinion archive page confirmed on site; dedicated opinion RSS not confirmed yet."
"Voice of OC","Independent digital","https://voiceofoc.org","https://voiceofoc.org/category/involvement/community-opinion/","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor community opinion category page","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","Official civic engagement page points to Community Opinion; RSS not confirmed."
"Capital & Main","Independent digital","https://capitalandmain.com","","N","","N","Tier 4","Skip for prototype","Do not include in initial automated prototype","Deprioritize for opinion prototype","Keep out of the first automated newsletter build unless editorial priorities change.","Capital & Main explicitly describes itself as fact-based reporting, not opinion. It may be useful editorially, but it is not a clean fit for an opinion-feed prototype."
"The Vallejo Sun","Independent digital","https://www.vallejosun.com","","N","","N","Tier 3","Manual review","Editorial/manual verification before automation","Manual review; no dedicated opinion section confirmed","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation.","Search results in this pass surfaced reported news and tagged author pages, but no dedicated opinion/commentary archive was confirmed."
"The Mercury News","Bay Area metro influence","http://www.bayareanewsgroup.com/","","","","","Tier 3","Manual review","Editorial/manual verification before automation","Manual review under BANG umbrella","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation.","Bay Area News Group official pages confirm The Mercury News is a BANG flagship property; opinion landing page not confirmed in this pass."
"East Bay Times","Bay Area metro influence","http://www.bayareanewsgroup.com/","","","","","Tier 3","Manual review","Editorial/manual verification before automation","Manual review under BANG umbrella","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation.","Bay Area News Group official pages confirm East Bay Times is a BANG property; opinion landing page not confirmed in this pass."
"ChicoSol News","Independent digital","http://chicosol.org","","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor guest commentary and point-of-view stories","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","ChicoSol describes itself as fact-based reporting with guest commentaries, and multiple current stories are explicitly labeled Commentary or Point of View."
"The Berkeley Scanner","Independent digital","https://www.berkeleyscanner.com/","","N","","N","Tier 4","Skip for prototype","Do not include in initial automated prototype","Deprioritize; no opinion section identified","Keep out of the first automated newsletter build unless editorial priorities change.","Current site presentation emphasizes independent daily crime and safety news. No dedicated opinion/commentary section was identified in this pass."
"A News Café","Independent digital","https://anewscafe.com/","https://anewscafe.com/category/opinion/","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor opinion category page","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","Opinion category page confirmed on site; dedicated opinion RSS not confirmed yet."
"El Tecolote","Community and ethnic media","https://eltecolote.org/content/en/","","N","","","Tier 3","Manual review","Editorial/manual verification before automation","Manual review; community-perspective outlet but opinion section unconfirmed","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation.","El Tecolote clearly offers community journalism from a Latinx perspective, but a dedicated opinion/op-ed archive was not confirmed in this pass."
"Black Voice News","Community and ethnic media","http://www.blackvoicenews.com","https://blackvoicenews.com/category/opinion/","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor opinion archive page","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","Dedicated opinion archive confirmed on site; dedicated opinion RSS not confirmed yet."
"San Fernando Sun Newspaper","Community and ethnic media","https://sanfernandosun.com/","https://sanfernandosun.com/category/opinion/","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor opinion archive page","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","Dedicated opinion archive confirmed on site; dedicated opinion RSS not confirmed yet."
"American Community Media","Community and ethnic media","https://americancommunitymedia.org/","https://americancommunitymedia.org/category/oped/","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor op-ed category page","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","ACoM has a dedicated Op-Ed category and describes its mission as distributing news, opinion and analysis through its community media syndicate."
"Wind Newspaper","Community and ethnic media","https://www.windnewspaper.com","https://www.windnewspaper.com/category/opinions","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor opinions and open forum page","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","Dedicated Opinions page confirmed on site; homepage also highlights Opinions & Open Forum content."
"Valley Voice","Community and ethnic media","http://www.ourvalleyvoice.com","","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor site for opinion-labeled and letter posts","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","Multiple current Valley Voice articles are explicitly labeled OPINION, including letters; a dedicated opinion archive URL was not confirmed in this pass."
"Comstock's Magazine","Business and civic","https://comstocksmag.com","https://www.comstocksmag.com/opinion","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor opinion page","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","Dedicated opinion page and opinion submission guidance confirmed on site; dedicated opinion RSS not confirmed yet."
"The Business Journal","Business and civic","http://www.thebusinessjournal.com","https://thebusinessjournal.com/opinion/","N","","Y","Tier 2","Page monitor","Monitor opinion/category page for newly published article links","Monitor opinion archive page","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items.","Dedicated opinion archive confirmed on site; dedicated opinion RSS not confirmed yet."
